ID_CLIENTE,CANAL,PRECIO_ASIGNADO,ZONA,CLAS_VENTA,TIPO_FACT
1,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
2,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
3,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
4,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
5,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
6,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
7,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
8,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
9,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
10,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
11,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
12,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
13,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
14,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
15,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
16,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
17,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
18,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
19,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
20,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
21,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
22,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
23,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
24,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
25,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
26,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
27,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
28,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
29,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
30,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
31,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
32,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
33,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
34,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
35,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
36,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
37,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
38,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
39,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
40,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
41,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
42,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
43,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
44,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
45,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
46,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
47,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
48,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
49,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
50,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
51,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
52,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
53,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
54,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
55,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
56,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
57,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
58,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
59,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
60,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
61,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
62,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
63,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
64,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
65,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
66,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
67,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
68,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
69,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
70,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
71,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
72,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
73,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
74,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
75,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
76,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
77,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
78,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
79,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
80,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
81,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
82,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
83,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
84,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
85,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
86,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
87,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
88,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
89,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
90,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
91,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
92,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
93,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
94,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
95,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
96,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
97,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
98,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
99,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
100,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
101,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
102,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
103,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
104,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
105,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
106,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
107,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
108,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
109,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
110,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
111,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
112,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
113,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
114,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
