Date;Venta
02/01/2019;541306
03/01/2019;83068
04/01/2019;181041
05/01/2019;170735
07/01/2019;429827
08/01/2019;277485
09/01/2019;26959
10/01/2019;112691
11/01/2019;406379
12/01/2019;437402
14/01/2019;891833
15/01/2019;309426
16/01/2019;22130
17/01/2019;155872
18/01/2019;50382
19/01/2019;351854
21/01/2019;245631
22/01/2019;518997
23/01/2019;267508
24/01/2019;175328
25/01/2019;170293
26/01/2019;255477
28/01/2019;163500
29/01/2019;120888
30/01/2019;90387
31/01/2019;-62
01/02/2019;106033
02/02/2019;142973
04/02/2019;460966
05/02/2019;296754
06/02/2019;23183
07/02/2019;431737
08/02/2019;455296
09/02/2019;504215
11/02/2019;537326
12/02/2019;231938
13/02/2019;74851
14/02/2019;84493
15/02/2019;156058
16/02/2019;170347
18/02/2019;195927
19/02/2019;236722
20/02/2019;-3317
21/02/2019;277035
22/02/2019;140349
23/02/2019;98738
25/02/2019;562605
26/02/2019;138649
27/02/2019;21804
28/02/2019;1607351
07/03/2019;127797
08/03/2019;93040
09/03/2019;151411
11/03/2019;363490
12/03/2019;130235
13/03/2019;15438
14/03/2019;23234
15/03/2019;76925
16/03/2019;451651
18/03/2019;209351
19/03/2019;195983
20/03/2019;2668
21/03/2019;231955
22/03/2019;121376
23/03/2019;143875
25/03/2019;481840
26/03/2019;219785
27/03/2019;9184
28/03/2019;60569
29/03/2019;539829
30/03/2019;73
02/04/2019;483002
03/04/2019;9619
04/04/2019;231592
05/04/2019;124619
06/04/2019;137083
08/04/2019;296555
09/04/2019;212407
10/04/2019;23422
11/04/2019;72668
12/04/2019;224262
13/04/2019;355672
15/04/2019;17404
16/04/2019;31331
22/04/2019;564017
23/04/2019;163916
24/04/2019;5488
25/04/2019;77089
26/04/2019;140509
27/04/2019;283759
29/04/2019;441631
30/04/2019;219911
03/05/2019;327064
04/05/2019;139795
06/05/2019;266246
07/05/2019;315307
08/05/2019;122068
09/05/2019;55264
10/05/2019;155909
11/05/2019;184942
13/05/2019;494143
14/05/2019;290193
15/05/2019;7737
16/05/2019;471850
17/05/2019;103413
18/05/2019;133448
19/05/2019;30324
20/05/2019;245397
21/05/2019;130875
22/05/2019;2426
24/05/2019;137918
25/05/2019;298833
27/05/2019;399596
28/05/2019;529680
29/05/2019;38837
30/05/2019;68
01/06/2019;257524
03/06/2019;310859
04/06/2019;177801
05/06/2019;29953
06/06/2019;107758
07/06/2019;132798
08/06/2019;425581
10/06/2019;279373
11/06/2019;159151
12/06/2019;-862
13/06/2019;224934
14/06/2019;180992
15/06/2019;139080
17/06/2019;225404
18/06/2019;177605
19/06/2019;14616
20/06/2019;59901
21/06/2019;142585
22/06/2019;264701
24/06/2019;433908
25/06/2019;357707
26/06/2019;9911
27/06/2019;303616
28/06/2019;724593
29/06/2019;-342
02/07/2019;281498
03/07/2019;9452
04/07/2019;48376
05/07/2019;89770
06/07/2019;130539
08/07/2019;179912
09/07/2019;212716
10/07/2019;55157
11/07/2019;448917
12/07/2019;-1657
13/07/2019;412795
15/07/2019;467584
16/07/2019;488
17/07/2019;19258
18/07/2019;46615
20/07/2019;194272
22/07/2019;308530
23/07/2019;321291
24/07/2019;9734
25/07/2019;232030
26/07/2019;84939
27/07/2019;215722
29/07/2019;374817
30/07/2019;238122
31/07/2019;39677
02/08/2019;1775956
03/08/2019;197806
05/08/2019;471204
06/08/2019;282553
07/08/2019;11410
08/08/2019;676963
09/08/2019;123246
10/08/2019;299283
12/08/2019;607511
13/08/2019;176203
14/08/2019;161115
15/08/2019;33494
16/08/2019;101925
17/08/2019;299909
19/08/2019;457662
20/08/2019;230495
21/08/2019;56016
22/08/2019;403719
23/08/2019;171108
24/08/2019;399410
26/08/2019;461558
27/08/2019;155360
28/08/2019;34176
01/09/2019;202514
02/09/2019;145866
03/09/2019;250181
04/09/2019;9263
05/09/2019;284289
06/09/2019;273880
07/09/2019;-200
09/09/2019;831955
10/09/2019;183838
11/09/2019;5791
12/09/2019;41842
13/09/2019;345630
16/09/2019;-747
17/09/2019;456240
18/09/2019;300141
19/09/2019;39809
20/09/2019;427076
21/09/2019;283685
23/09/2019;426739
25/09/2019;203529
26/09/2019;38150
27/09/2019;742962
30/09/2019;-232
01/10/2019;142596
02/10/2019;182552
03/10/2019;38034
04/10/2019;357145
05/10/2019;222199
07/10/2019;221160
08/10/2019;114296
09/10/2019;19449
10/10/2019;46770
11/10/2019;67665
12/10/2019;302743
14/10/2019;312066
15/10/2019;281549
16/10/2019;6839
17/10/2019;348585
18/10/2019;121155
19/10/2019;274038
20/10/2019;54065
21/10/2019;399080
22/10/2019;347017
23/10/2019;17323
24/10/2019;23331
25/10/2019;70195
26/10/2019;514641
27/10/2019;31964
28/10/2019;260384
29/10/2019;383638
30/10/2019;705605
31/10/2019;-1509
01/11/2019;87319
02/11/2019;154937
04/11/2019;423454
05/11/2019;103887
06/11/2019;32447
07/11/2019;57198
08/11/2019;184808
09/11/2019;101608
11/11/2019;470737
12/11/2019;134904
13/11/2019;-1391
14/11/2019;360958
15/11/2019;87796
16/11/2019;195249
18/11/2019;326082
19/11/2019;220684
20/11/2019;15725
21/11/2019;147232
22/11/2019;-1456
23/11/2019;196985
25/11/2019;337376
26/11/2019;194530
27/11/2019;92348
28/11/2019;183480
29/11/2019;79580
30/11/2019;859668
03/12/2019;303936
04/12/2019;94859
05/12/2019;7061
06/12/2019;228243
07/12/2019;101966
10/12/2019;564902
11/12/2019;425418
12/12/2019;60406
13/12/2019;143272
14/12/2019;441605
16/12/2019;449460
17/12/2019;733477
18/12/2019;11233
19/12/2019;233064
20/12/2019;597342
21/12/2019;367366
23/12/2019;511894
24/12/2019;9375
26/12/2019;4166
27/12/2019;91072
28/12/2019;453631
30/12/2019;167299
03/01/2020;8797
04/01/2020;119900
06/01/2020;168423
07/01/2020;134984
08/01/2020;17140
09/01/2020;19561
10/01/2020;321721
11/01/2020;222699
13/01/2020;468436
14/01/2020;103679
15/01/2020;59379
16/01/2020;11682
17/01/2020;94765
18/01/2020;136602
20/01/2020;145433
21/01/2020;198700
22/01/2020;19377
23/01/2020;7064
24/01/2020;387022
25/01/2020;153111
27/01/2020;500046
28/01/2020;724680
29/01/2020;-1111
30/01/2020;155523
01/02/2020;134524
03/02/2020;487180
04/02/2020;98310
05/02/2020;47724
06/02/2020;97700
07/02/2020;308703
08/02/2020;124848
10/02/2020;413789
11/02/2020;66999
12/02/2020;65827
13/02/2020;11385
14/02/2020;20324
15/02/2020;312768
17/02/2020;126648
18/02/2020;262145
19/02/2020;32946
20/02/2020;33822
21/02/2020;290983
22/02/2020;222250
24/02/2020;811474
25/02/2020;58517
26/02/2020;48183
27/02/2020;28272
02/03/2020;290443
03/03/2020;117077
04/03/2020;344899
05/03/2020;11849
06/03/2020;377806
07/03/2020;287321
09/03/2020;157459
10/03/2020;205806
11/03/2020;198792
12/03/2020;53741
13/03/2020;29206
14/03/2020;271606
16/03/2020;72914
17/03/2020;778727
18/03/2020;84772
19/03/2020;21611
20/03/2020;289665
21/03/2020;937218
23/03/2020;402286
24/03/2020;678424
25/03/2020;25573
26/03/2020;75067
01/04/2020;791144
02/04/2020;426830
03/04/2020;38230
04/04/2020;-2784
06/04/2020;264236
07/04/2020;458268
13/04/2020;137107
14/04/2020;318279
15/04/2020;649554
16/04/2020;25667
17/04/2020;-1651
18/04/2020;221985
20/04/2020;297966
21/04/2020;228992
22/04/2020;85749
23/04/2020;5091
24/04/2020;14582
25/04/2020;253582
27/04/2020;144148
28/04/2020;334913
29/04/2020;532658
30/04/2020;680689
02/05/2020;69349
04/05/2020;119476
05/05/2020;245947
06/05/2020;88910
07/05/2020;10228
08/05/2020;37161
09/05/2020;185311
11/05/2020;83018
12/05/2020;244071
13/05/2020;178701
14/05/2020;242395
15/05/2020;33712
16/05/2020;171247
18/05/2020;109249
19/05/2020;390874
20/05/2020;134521
21/05/2020;17280
22/05/2020;26665
23/05/2020;332629
25/05/2020;103479
26/05/2020;515022
27/05/2020;318414
28/05/2020;445392
01/06/2020;322842
02/06/2020;168509
03/06/2020;312949
04/06/2020;9083
05/06/2020;27424
06/06/2020;109841
08/06/2020;265221
09/06/2020;116986
10/06/2020;164224
11/06/2020;320217
12/06/2020;26250
13/06/2020;156242
15/06/2020;67089
16/06/2020;342131
17/06/2020;174075
18/06/2020;3362
19/06/2020;26290
20/06/2020;138057
22/06/2020;245911
23/06/2020;246333
24/06/2020;220866
25/06/2020;266938
26/06/2020;79427
27/06/2020;284283
29/06/2020;6566
30/06/2020;4516
01/07/2020;381368
02/07/2020;-1069
03/07/2020;18260
04/07/2020;169616
06/07/2020;2790
07/07/2020;732573
08/07/2020;370605
09/07/2020;386255
10/07/2020;-12594
11/07/2020;184790
13/07/2020;52575
14/07/2020;400990
15/07/2020;94172
16/07/2020;57031
17/07/2020;10700
18/07/2020;242139
20/07/2020;88355
22/07/2020;434207
23/07/2020;350649
24/07/2020;99684
25/07/2020;207159
27/07/2020;75134
28/07/2020;621872
29/07/2020;162430
30/07/2020;107879
01/08/2020;96828
03/08/2020;270428
04/08/2020;258885
05/08/2020;262528
06/08/2020;453146
07/08/2020;117376
08/08/2020;146179
