Date;Venta
02/01/2019;541305.8
03/01/2019;83068.29
04/01/2019;181041.02
05/01/2019;170735.12
07/01/2019;429826.81
08/01/2019;277484.59
09/01/2019;26958.58
10/01/2019;112691.44
11/01/2019;406378.77
12/01/2019;437402.07
14/01/2019;891832.67
15/01/2019;309426.12
16/01/2019;22129.98
17/01/2019;155872.48
18/01/2019;50381.81
19/01/2019;351854.09
21/01/2019;245631.49
22/01/2019;518996.98
23/01/2019;267507.93
24/01/2019;175327.79
25/01/2019;170293.46
26/01/2019;255477.45
28/01/2019;163500.05
29/01/2019;120888.17
30/01/2019;90387.3
31/01/2019;-61.65
01/02/2019;106033.22
02/02/2019;142972.81
04/02/2019;460965.98
05/02/2019;296753.69
06/02/2019;23183.09
07/02/2019;431736.71
08/02/2019;455295.56
09/02/2019;504215.47
11/02/2019;537325.52
12/02/2019;231938.48
13/02/2019;74851.15
14/02/2019;84492.97
15/02/2019;156058.27
16/02/2019;170347.13
18/02/2019;195926.6
19/02/2019;236722.22
20/02/2019;-3317.05
21/02/2019;277035.42
22/02/2019;140349.44
23/02/2019;98737.92
25/02/2019;562604.93
26/02/2019;138648.85
27/02/2019;21803.98
28/02/2019;1607351.45
07/03/2019;127796.95
08/03/2019;93039.75
09/03/2019;151411.33
11/03/2019;363489.78
12/03/2019;130234.7
13/03/2019;15438.41
14/03/2019;23234.48
15/03/2019;76925.09
16/03/2019;451651.31
18/03/2019;209350.58
19/03/2019;195982.57
20/03/2019;2667.72
21/03/2019;231955.24
22/03/2019;121375.73
23/03/2019;143875
25/03/2019;481840.45
26/03/2019;219785.04
27/03/2019;9184.45
28/03/2019;60568.52
29/03/2019;539829.07
30/03/2019;73.07
02/04/2019;483002.01
03/04/2019;9618.98
04/04/2019;231592.04
05/04/2019;124618.93
06/04/2019;137082.66
08/04/2019;296554.52
09/04/2019;212406.6
10/04/2019;23422.16
11/04/2019;72667.8
12/04/2019;224262.23
13/04/2019;355671.98
